Notes,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count,Population,Crude Rate
,2011,2011.0,30-34 years,30-34,Male,M,47,10276806,0.5
,2011,2011.0,35-39 years,35-39,Female,F,76,9856192,0.8
,2011,2011.0,35-39 years,35-39,Male,M,122,9788011,1.2
,2011,2011.0,40-44 years,40-44,Female,F,218,10589943,2.1
,2011,2011.0,40-44 years,40-44,Male,M,270,10490315,2.6
,2011,2011.0,45-49 years,45-49,Female,F,422,11219421,3.8
,2011,2011.0,45-49 years,45-49,Male,M,535,10989688,4.9
,2011,2011.0,50-54 years,50-54,Female,F,729,11506255,6.3
,2011,2011.0,50-54 years,50-54,Male,M,882,11107378,7.9
,2011,2011.0,55-59 years,55-59,Female,F,1007,10451001,9.6
,2011,2011.0,55-59 years,55-59,Male,M,1351,9852251,13.7
,2011,2011.0,60-64 years ,60-64,Female,F,1370,9266126,14.8
,2011,2011.0,60-64 years ,60-64,Male,M,1788,8568157,20.9
,2011,2011.0,65-69 years,65-69,Female,F,1438,6801425,21.1
,2011,2011.0,65-69 years,65-69,Male,M,1959,6087406,32.2
,2011,2011.0,70-74 years,70-74,Female,F,1470,5193420,28.3
,2011,2011.0,70-74 years,70-74,Male,M,1927,4402889,43.8
,2011,2011.0,75-79 years,75-79,Female,F,1413,4135921,34.2
,2011,2011.0,75-79 years,75-79,Male,M,1743,3222474,54.1
,2011,2011.0,80-84 years,80-84,Female,F,1245,3421489,36.4
,2011,2011.0,80-84 years,80-84,Male,M,1373,2321473,59.1
,2011,2011.0,85+ years,85+,Female,F,1166,3773036,30.9
,2011,2011.0,85+ years,85+,Male,M,1019,1858394,54.8
,2012,2012.0,30-34 years,30-34,Female,F,30,10440166,0.3
,2012,2012.0,30-34 years,30-34,Male,M,45,10485967,0.4
,2012,2012.0,35-39 years,35-39,Female,F,76,9808771,0.8
,2012,2012.0,35-39 years,35-39,Male,M,109,9763658,1.1
,2012,2012.0,40-44 years,40-44,Female,F,206,10595850,1.9
,2012,2012.0,40-44 years,40-44,Male,M,292,10508044,2.8
,2012,2012.0,45-49 years,45-49,Female,F,386,10978704,3.5
,2012,2012.0,45-49 years,45-49,Male,M,538,10789833,5.0
,2012,2012.0,50-54 years,50-54,Female,F,684,11513552,5.9
,2012,2012.0,50-54 years,50-54,Male,M,968,11148488,8.7
,2012,2012.0,55-59 years,55-59,Female,F,1114,10718242,10.4
,2012,2012.0,55-59 years,55-59,Male,M,1390,10134647,13.7
,2012,2012.0,60-64 years ,60-64,Female,F,1297,9273229,14.0
,2012,2012.0,60-64 years ,60-64,Male,M,1864,8576733,21.7
,2012,2012.0,65-69 years,65-69,Female,F,1569,7363627,21.3
,2012,2012.0,65-69 years,65-69,Male,M,2156,6633750,32.5
,2012,2012.0,70-74 years,70-74,Female,F,1537,5393763,28.5
,2012,2012.0,70-74 years,70-74,Male,M,1922,4596855,41.8
,2012,2012.0,75-79 years,75-79,Female,F,1400,4164038,33.6
,2012,2012.0,75-79 years,75-79,Male,M,1852,3274825,56.6
,2012,2012.0,80-84 years,80-84,Female,F,1275,3386255,37.7
,2012,2012.0,80-84 years,80-84,Male,M,1404,2330466,60.2
,2012,2012.0,85+ years,85+,Female,F,1140,3826430,29.8
,2012,2012.0,85+ years,85+,Male,M,1069,1916645,55.8
,2013,2013.0,25-29 years,25-29,Male,M,22,10848793,0.2
,2013,2013.0,30-34 years,30-34,Female,F,36,10618303,0.3
,2013,2013.0,30-34 years,30-34,Male,M,49,10677201,0.5
,2013,2013.0,35-39 years,35-39,Female,F,74,9866062,0.8
,2013,2013.0,35-39 years,35-39,Male,M,114,9858000,1.2
,2013,2013.0,40-44 years,40-44,Female,F,186,10526757,1.8
,2013,2013.0,40-44 years,40-44,Male,M,284,10433383,2.7
,2013,2013.0,45-49 years,45-49,Female,F,401,10732024,3.7
,2013,2013.0,45-49 years,45-49,Male,M,544,10591007,5.1
,2013,2013.0,50-54 years,50-54,Female,F,704,11507201,6.1
,2013,2013.0,50-54 years,50-54,Male,M,994,11170509,8.9
,2013,2013.0,55-59 years,55-59,Female,F,1068,10926853,9.8
,2013,2013.0,55-59 years,55-59,Male,M,1402,10373942,13.5
,2013,2013.0,60-64 years ,60-64,Female,F,1412,9436730,15.0
,2013,2013.0,60-64 years ,60-64,Male,M,1872,8729674,21.4
,2013,2013.0,65-69 years,65-69,Female,F,1706,7676888,22.2
,2013,2013.0,65-69 years,65-69,Male,M,2247,6942884,32.4
,2013,2013.0,70-74 years,70-74,Female,F,1676,5691771,29.4
,2013,2013.0,70-74 years,70-74,Male,M,2097,4876542,43.0
,2013,2013.0,75-79 years,75-79,Female,F,1494,4237441,35.3
,2013,2013.0,75-79 years,75-79,Male,M,1875,3362112,55.8
,2013,2013.0,80-84 years,80-84,Female,F,1283,3342086,38.4
,2013,2013.0,80-84 years,80-84,Male,M,1492,2330407,64.0
,2013,2013.0,85+ years,85+,Female,F,1239,3853559,32.2
,2013,2013.0,85+ years,85+,Male,M,1145,1960631,58.4
,2014,2014.0,30-34 years,30-34,Female,F,24,10731331,0.2
,2014,2014.0,30-34 years,30-34,Male,M,57,10808411,0.5
,2014,2014.0,35-39 years,35-39,Female,F,88,10004528,0.9
,2014,2014.0,35-39 years,35-39,Male,M,116,10027661,1.2
,2014,2014.0,40-44 years,40-44,Female,F,224,10384716,2.2
,2014,2014.0,40-44 years,40-44,Male,M,246,10297147,2.4
,2014,2014.0,45-49 years,45-49,Female,F,422,10535111,4.0
,2014,2014.0,45-49 years,45-49,Male,M,491,10438628,4.7
,2014,2014.0,50-54 years,50-54,Female,F,742,11493436,6.5
,2014,2014.0,50-54 years,50-54,Male,M,976,11188482,8.7
,2014,2014.0,55-59 years,55-59,Female,F,1039,11072502,9.4
,2014,2014.0,55-59 years,55-59,Male,M,1422,10556146,13.5
,2014,2014.0,60-64 years ,60-64,Female,F,1410,9661696,14.6
,2014,2014.0,60-64 years ,60-64,Male,M,1993,8945045,22.3
,2014,2014.0,65-69 years,65-69,Female,F,1744,8045618,21.7
,2014,2014.0,65-69 years,65-69,Male,M,2430,7292375,33.3
,2014,2014.0,70-74 years,70-74,Female,F,1713,5923751,28.9
,2014,2014.0,70-74 years,70-74,Male,M,2302,5088834,45.2
,2014,2014.0,75-79 years,75-79,Female,F,1558,4336009,35.9
,2014,2014.0,75-79 years,75-79,Male,M,1972,3469605,56.8
,2014,2014.0,80-84 years,80-84,Female,F,1318,3306731,39.9
,2014,2014.0,80-84 years,80-84,Male,M,1504,2332285,64.5
,2014,2014.0,85+ years,85+,Female,F,1212,3886541,31.2
,2014,2014.0,85+ years,85+,Male,M,1209,2007376,60.2
,2015,2015.0,30-34 years,30-34,Female,F,33,10790843,0.3
,2015,2015.0,30-34 years,30-34,Male,M,53,10890218,0.5
,2015,2015.0,35-39 years,35-39,Female,F,87,10222346,0.9
,2015,2015.0,35-39 years,35-39,Male,M,99,10285289,1.0
,2015,2015.0,40-44 years,40-44,Female,F,204,10193646,2.0
,2015,2015.0,40-44 years,40-44,Male,M,269,10122265,2.7
,2015,2015.0,45-49 years,45-49,Female,F,451,10503986,4.3
,2015,2015.0,45-49 years,45-49,Male,M,514,10443917,4.9
,2015,2015.0,50-54 years,50-54,Female,F,761,11365628,6.7
,2015,2015.0,50-54 years,50-54,Male,M,1004,11097911,9.0
,2015,2015.0,55-59 years,55-59,Female,F,1075,11212054,9.6
,2015,2015.0,55-59 years,55-59,Male,M,1547,10735719,14.4
,2015,2015.0,60-64 years ,60-64,Female,F,1511,9913845,15.2
,2015,2015.0,60-64 years ,60-64,Male,M,2024,9200032,22.0
,2015,2015.0,65-69 years,65-69,Female,F,1877,8436622,22.2
,2015,2015.0,65-69 years,65-69,Male,M,2515,7654966,32.9
,2015,2015.0,70-74 years,70-74,Female,F,1805,6121384,29.5
,2015,2015.0,70-74 years,70-74,Male,M,2327,5280144,44.1
,2015,2015.0,75-79 years,75-79,Female,F,1627,4415692,36.8
,2015,2015.0,75-79 years,75-79,Male,M,2048,3555738,57.6
,2015,2015.0,80-84 years,80-84,Female,F,1333,3296858,40.4
,2015,2015.0,80-84 years,80-84,Male,M,1563,2351579,66.5
,2015,2015.0,85+ years,85+,Female,F,1215,3909431,31.1
,2015,2015.0,85+ years,85+,Male,M,1259,2052835,61.3
,2016,2016.0,30-34 years,30-34,Female,F,36,10867599,0.3
,2016,2016.0,30-34 years,30-34,Male,M,54,11015383,0.5
,2016,2016.0,35-39 years,35-39,Female,F,99,10468380,0.9
,2016,2016.0,35-39 years,35-39,Male,M,116,10561312,1.1
,2016,2016.0,40-44 years,40-44,Female,F,219,9971178,2.2
,2016,2016.0,40-44 years,40-44,Male,M,264,9924407,2.7
,2016,2016.0,45-49 years,45-49,Female,F,429,10587343,4.1
,2016,2016.0,45-49 years,45-49,Male,M,512,10542347,4.9
,2016,2016.0,50-54 years,50-54,Female,F,783,11131090,7.0
,2016,2016.0,50-54 years,50-54,Male,M,986,10916199,9.0
,2016,2016.0,55-59 years,55-59,Female,F,1200,11322802,10.6
,2016,2016.0,55-59 years,55-59,Male,M,1612,10876344,14.8
,2016,2016.0,60-64 years ,60-64,Female,F,1550,10138148,15.3
,2016,2016.0,60-64 years ,60-64,Male,M,2123,9437590,22.5
,2016,2016.0,65-69 years,65-69,Female,F,2068,8845441,23.4
,2016,2016.0,65-69 years,65-69,Male,M,2757,8017065,34.4
,2016,2016.0,70-74 years,70-74,Female,F,1889,6282495,30.1
,2016,2016.0,70-74 years,70-74,Male,M,2458,5444420,45.1
,2016,2016.0,75-79 years,75-79,Female,F,1619,4529974,35.7
,2016,2016.0,75-79 years,75-79,Male,M,2036,3662863,55.6
,2016,2016.0,80-84 years,80-84,Female,F,1246,3308773,37.7
,2016,2016.0,80-84 years,80-84,Male,M,1581,2385722,66.3
,2016,2016.0,85+ years,85+,Female,F,1293,3927236,32.9
,2016,2016.0,85+ years,85+,Male,M,1283,2091967,61.3
,2017,2017.0,25-29 years,25-29,Female,F,18,11361695,0.2
,2017,2017.0,30-34 years,30-34,Female,F,35,10912464,0.3
,2017,2017.0,30-34 years,30-34,Male,M,55,11102599,0.5
,2017,2017.0,35-39 years,35-39,Female,F,115,10676253,1.1
,2017,2017.0,35-39 years,35-39,Male,M,121,10805978,1.1
,2017,2017.0,40-44 years,40-44,Female,F,228,9928448,2.3
,2017,2017.0,40-44 years,40-44,Male,M,274,9899318,2.8
,2017,2017.0,45-49 years,45-49,Female,F,431,10590352,4.1
,2017,2017.0,45-49 years,45-49,Male,M,591,10567870,5.6
,2017,2017.0,50-54 years,50-54,Female,F,720,10894629,6.6
,2017,2017.0,50-54 years,50-54,Male,M,983,10722092,9.2
,2017,2017.0,55-59 years,55-59,Female,F,1150,11328783,10.2
,2017,2017.0,55-59 years,55-59,Male,M,1623,10918438,14.9
,2017,2017.0,60-64 years ,60-64,Female,F,1609,10380862,15.5
,2017,2017.0,60-64 years ,60-64,Male,M,2104,9695770,21.7
,2017,2017.0,65-69 years,65-69,Female,F,2028,8852661,22.9
,2017,2017.0,65-69 years,65-69,Male,M,2690,8015056,33.6
,2017,2017.0,70-74 years,70-74,Female,F,1979,6793601,29.1
,2017,2017.0,70-74 years,70-74,Male,M,2567,5922872,43.3
,2017,2017.0,75-79 years,75-79,Female,F,1673,4697656,35.6
,2017,2017.0,75-79 years,75-79,Male,M,2124,3818200,55.6
,2017,2017.0,80-84 years,80-84,Female,F,1383,3330776,41.5
,2017,2017.0,80-84 years,80-84,Male,M,1573,2424833,64.9
,2017,2017.0,85+ years,85+,Female,F,1293,3924005,33.0
,2017,2017.0,85+ years,85+,Male,M,1230,2118814,58.1
,2018,2018.0,25-29 years,25-29,Male,M,17,11758139,0.1
,2018,2018.0,30-34 years,30-34,Female,F,34,10985863,0.3
,2018,2018.0,30-34 years,30-34,Male,M,51,11209788,0.5
,2018,2018.0,35-39 years,35-39,Female,F,94,10861966,0.9
,2018,2018.0,35-39 years,35-39,Male,M,114,11024319,1.0
,2018,2018.0,40-44 years,40-44,Female,F,266,9982321,2.7
,2018,2018.0,40-44 years,40-44,Male,M,280,9988365,2.8
,2018,2018.0,45-49 years,45-49,Female,F,447,10517055,4.3
,2018,2018.0,45-49 years,45-49,Male,M,493,10498971,4.7
,2018,2018.0,50-54 years,50-54,Female,F,750,10650006,7.0
,2018,2018.0,50-54 years,50-54,Male,M,985,10527211,9.4
,2018,2018.0,55-59 years,55-59,Female,F,1164,11319871,10.3
,2018,2018.0,55-59 years,55-59,Male,M,1555,10941023,14.2
,2018,2018.0,60-64 years ,60-64,Female,F,1659,10564877,15.7
,2018,2018.0,60-64 years ,60-64,Male,M,2139,9911427,21.6
,2018,2018.0,65-69 years,65-69,Female,F,2034,9005172,22.6
,2018,2018.0,65-69 years,65-69,Male,M,2666,8145974,32.7
,2018,2018.0,70-74 years,70-74,Female,F,1987,7079052,28.1
,2018,2018.0,70-74 years,70-74,Male,M,2707,6192857,43.7
,2018,2018.0,75-79 years,75-79,Female,F,1841,4952130,37.2
,2018,2018.0,75-79 years,75-79,Male,M,2353,4048200,58.1
,2018,2018.0,80-84 years,80-84,Female,F,1349,3391705,39.8
,2018,2018.0,80-84 years,80-84,Male,M,1686,2491163,67.7
,2018,2018.0,85+ years,85+,Female,F,1232,3911711,31.5
,2018,2018.0,85+ years,85+,Male,M,1277,2138079,59.7
,2019,2019.0,30-34 years,30-34,Female,F,38,11139224,0.3
,2019,2019.0,30-34 years,30-34,Male,M,44,11397046,0.4
,2019,2019.0,35-39 years,35-39,Female,F,124,10969108,1.1
,2019,2019.0,35-39 years,35-39,Male,M,120,11168790,1.1
,2019,2019.0,40-44 years,40-44,Female,F,214,10106423,2.1
,2019,2019.0,40-44 years,40-44,Male,M,266,10141167,2.6
,2019,2019.0,45-49 years,45-49,Female,F,442,10367466,4.3
,2019,2019.0,45-49 years,45-49,Male,M,560,10362741,5.4
,2019,2019.0,50-54 years,50-54,Female,F,716,10449065,6.9
,2019,2019.0,50-54 years,50-54,Male,M,940,10373148,9.1
,2019,2019.0,55-59 years,55-59,Female,F,1133,11301747,10.0
,2019,2019.0,55-59 years,55-59,Male,M,1631,10956012,14.9
,2019,2019.0,60-64 years ,60-64,Female,F,1676,10686248,15.7
,2019,2019.0,60-64 years ,60-64,Male,M,2263,10072630,22.5
,2019,2019.0,65-69 years,65-69,Female,F,2144,9211525,23.3
,2019,2019.0,65-69 years,65-69,Male,M,2717,8333275,32.6
,2019,2019.0,70-74 years,70-74,Female,F,2230,7410432,30.1
,2019,2019.0,70-74 years,70-74,Male,M,2892,6492436,44.5
,2019,2019.0,75-79 years,75-79,Female,F,2000,5144035,38.9
,2019,2019.0,75-79 years,75-79,Male,M,2388,4217831,56.6
,2019,2019.0,80-84 years,80-84,Female,F,1472,3469669,42.4
,2019,2019.0,80-84 years,80-84,Male,M,1737,2570747,67.6
,2019,2019.0,85+ years,85+,Female,F,1314,3895487,33.7
,2019,2019.0,85+ years,85+,Male,M,1344,2153495,62.4
,2020,2020.0,25-29 years,25-29,Male,M,16,11578669,0.1
,2020,2020.0,30-34 years,30-34,Female,F,39,11303167,0.3
,2020,2020.0,30-34 years,30-34,Male,M,53,11571842,0.5
,2020,2020.0,35-39 years,35-39,Female,F,95,11006385,0.9
,2020,2020.0,35-39 years,35-39,Male,M,113,11226435,1.0
,2020,2020.0,40-44 years,40-44,Female,F,228,10301552,2.2
,2020,2020.0,40-44 years,40-44,Male,M,236,10369063,2.3
,2020,2020.0,45-49 years,45-49,Female,F,416,10159661,4.1
,2020,2020.0,45-49 years,45-49,Male,M,506,10158030,5.0
,2020,2020.0,50-54 years,50-54,Female,F,727,10409203,7.0
,2020,2020.0,50-54 years,50-54,Male,M,842,10369182,8.1
,2020,2020.0,55-59 years,55-59,Female,F,1089,11172928,9.7
,2020,2020.0,55-59 years,55-59,Male,M,1501,10853835,13.8
,2020,2020.0,60-64 years ,60-64,Female,F,1627,10800673,15.1
,2020,2020.0,60-64 years ,60-64,Male,M,2062,10223860,20.2
,2020,2020.0,65-69 years,65-69,Female,F,1948,9441471,20.6
,2020,2020.0,65-69 years,65-69,Male,M,2585,8552825,30.2
,2020,2020.0,70-74 years,70-74,Female,F,2171,7766655,28.0
,2020,2020.0,70-74 years,70-74,Male,M,2767,6808330,40.6
,2020,2020.0,75-79 years,75-79,Female,F,1863,5302206,35.1
,2020,2020.0,75-79 years,75-79,Male,M,2267,4359121,52.0
,2020,2020.0,80-84 years,80-84,Female,F,1364,3530519,38.6
,2020,2020.0,80-84 years,80-84,Male,M,1599,2630418,60.8
,2020,2020.0,85+ years,85+,Female,F,1164,3884585,30.0
,2020,2020.0,85+ years,85+,Male,M,1238,2176431,56.9
,2021,2021.0,25-29 years,25-29,Male,M,20,11384636,0.2
,2021,2021.0,30-34 years,30-34,Female,F,42,11435087,0.4
,2021,2021.0,30-34 years,30-34,Male,M,50,11679196,0.4
,2021,2021.0,35-39 years,35-39,Female,F,98,11041312,0.9
,2021,2021.0,35-39 years,35-39,Male,M,137,11269599,1.2
,2021,2021.0,40-44 years,40-44,Female,F,221,10514402,2.1
,2021,2021.0,40-44 years,40-44,Male,M,271,10595871,2.6
,2021,2021.0,45-49 years,45-49,Female,F,436,9909040,4.4
,2021,2021.0,45-49 years,45-49,Male,M,498,9878986,5.0
,2021,2021.0,50-54 years,50-54,Female,F,722,10470344,6.9
,2021,2021.0,50-54 years,50-54,Male,M,923,10434910,8.8
,2021,2021.0,55-59 years,55-59,Female,F,1169,10937467,10.7
,2021,2021.0,55-59 years,55-59,Male,M,1574,10629037,14.8
,2021,2021.0,60-64 years ,60-64,Female,F,1642,10895989,15.1
,2021,2021.0,60-64 years ,60-64,Male,M,2152,10322681,20.8
,2021,2021.0,65-69 years,65-69,Female,F,2118,9636480,22.0
,2021,2021.0,65-69 years,65-69,Male,M,2735,8735007,31.3
,2021,2021.0,70-74 years,70-74,Female,F,2314,8150199,28.4
,2021,2021.0,70-74 years,70-74,Male,M,3014,7111192,42.4
,2021,2021.0,75-79 years,75-79,Female,F,1938,5436501,35.6
,2021,2021.0,75-79 years,75-79,Male,M,2442,4465975,54.7
,2021,2021.0,80-84 years,80-84,Female,F,1439,3615739,39.8
,2021,2021.0,80-84 years,80-84,Male,M,1775,2692439,65.9
,2021,2021.0,85+ years,85+,Female,F,1171,3854937,30.4
,2021,2021.0,85+ years,85+,Male,M,1298,2186277,59.4
,2022,2022.0,30-34 years,30-34,Female,F,38,11573839,0.3
,2022,2022.0,30-34 years,30-34,Male,M,45,11806283,0.4
,2022,2022.0,35-39 years,35-39,Female,F,82,11071034,0.7
,2022,2022.0,35-39 years,35-39,Male,M,100,11301271,0.9
,2022,2022.0,40-44 years,40-44,Female,F,240,10703670,2.2
,2022,2022.0,40-44 years,40-44,Male,M,239,10802588,2.2
,2022,2022.0,45-49 years,45-49,Female,F,438,9857618,4.4
,2022,2022.0,45-49 years,45-49,Male,M,487,9809355,5.0
,2022,2022.0,50-54 years,50-54,Female,F,677,10454128,6.5
,2022,2022.0,50-54 years,50-54,Male,M,914,10405981,8.8
,2022,2022.0,55-59 years,55-59,Female,F,1144,10679509,10.7
,2022,2022.0,55-59 years,55-59,Male,M,1499,10378600,14.4
,2022,2022.0,60-64 years ,60-64,Female,F,1596,10912423,14.6
,2022,2022.0,60-64 years ,60-64,Male,M,2084,10337500,20.2
,2022,2022.0,65-69 years,65-69,Female,F,2037,9837549,20.7
,2022,2022.0,65-69 years,65-69,Male,M,2739,8928612,30.7
,2022,2022.0,70-74 years,70-74,Female,F,2198,8159422,26.9
,2022,2022.0,70-74 years,70-74,Male,M,2902,7074257,41.0
,2022,2022.0,75-79 years,75-79,Female,F,1935,5936838,32.6
,2022,2022.0,75-79 years,75-79,Male,M,2471,4917489,50.2
,2022,2022.0,80-84 years,80-84,Female,F,1433,3754869,38.2
,2022,2022.0,80-84 years,80-84,Male,M,1697,2802290,60.6
,2022,2022.0,85+ years,85+,Female,F,1161,3849649,30.2
,2022,2022.0,85+ years,85+,Male,M,1286,2209209,58.2
